"","nomem_encr","nohouse_encr","wave","geslacht","positie","gebjaar","leeftijd","lftdhhh","aantalhh","aantalki","brutoink_f","nettoink","netinc","nettoink_f","brutohh_f","nettohh_f","oplzon","oplmet","oplcat","simpc","bm10a_m","bm10a001","bm10a004","m_0.5","AA_0.5","m_0.1","AA_0.1","m_0.9","AA_0.9","alpha1","sigma2","child_dif","coef_risk_low","coef_risk_high","tp19a045"
"134",880215,511776,201001,1,1,1945,64,64,2,1,3560.773228046,2350,2350,2350,4662.70484519369,3200,6,6,"wo",0,201001,1,1,0.5,0,0.1,0,0.1282,0.7718,1.5,0.407986610574078,0,0.72248179628073,0.592013389425922,0
"135",881237,582315,201001,2,3,1981,28,27,3,1,1800,1250,-13,1250,5200,3000,5,5,"hbo",0,201001,1,0,0.25,0.25,0.4375,-0.3375,0.325,0.575,1.5,0.236114112681943,1,0.411637775270135,0.763885887318057,0
"136",881576,569049,201001,2,1,1980,29,29,2,0,3050.68932101191,2000,2000,2000,5528.12300653638,3700,6,6,"wo",0,201001,2,1,0.2813,0.2187,0.1,0,0.075,0.825,0,0,2,1,1,0
"137",882046,599148,201001,2,1,1932,77,77,2,1,1836.69876019458,1500,1500,1500,5836.69876019458,3900,2,2,"vmbo",0,201001,2,0,0.5,0,0.1,0,0.1,0.8,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,0
"138",882785,507150,201001,2,2,1965,44,47,3,1,580,540,540,540,5580,3640,4,4,"mbo",0,201001,2,0,0.4688,0.0311999999999999,0.1282,-0.0282,0.1282,0.7718,0.95,0.636531513096666,0,1,0.363468486903334,0
"139",883303,546154,201001,1,1,1965,44,44,3,1,3056,1750,-13,1750,3056,1750,4,4,"mbo",0,201001,2,1,0.25,0.25,0.05,0.05,0.325,0.575,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,10
"140",885379,562158,201001,1,1,1976,33,33,2,1,2608.83535722757,1750,-13,1750,2900.09268595551,2000,4,4,"mbo",0,201001,2,1,0.4688,0.0311999999999999,0.025,0.075,0.9719,-0.0719,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,250
"141",886233,504937,201001,2,2,1974,35,34,3,1,2400,1266,1266,1266,5400,3081,5,5,"hbo",0,201001,2,1,0.125,0.375,0.05,0.05,0.1,0.8,0,0,2,1,1,1000
"142",886712,529281,201001,1,1,1972,37,37,2,0,3967,2750,-13,2750,3967,2750,6,6,"wo",0,201001,2,1,0.3438,0.1562,0.05,0.05,0.6344,0.2656,1.5,0.628611175533853,2,0.411637775270135,0.371388824466147,20
"143",886856,548208,201001,1,1,1960,49,49,4,2,2300,1600,1600,1600,2300,1600,6,6,"wo",0,201001,2,1,0.9688,-0.4688,0.1,0,0.1,0.8,1.45,0.999947477923638,0,0.152047631739526,5.25220763617495e-05,200
"144",887081,588412,201001,2,1,1969,40,40,2,1,3596.49434594833,2300,2300,2300,3596.49434594833,2300,5,5,"hbo",0,201001,2,1,0.6563,-0.1563,0.6907,-0.5907,0.025,0.875,1.45,0.856503777849836,0,0.400756256532678,0.143496222150164,0
"145",887155,568005,201001,1,1,1969,40,40,5,3,4500,3000,3000,3000,5050,3500,5,5,"hbo",0,201001,1,1,0.4688,0.0311999999999999,0.075,0.025,0.1282,0.7718,1.5,0.142365774893191,0,0.72248179628073,0.857634225106809,400
"146",887432,539123,201001,2,2,1977,32,33,3,1,441,428,428,428,3441,2578,4,2,"vmbo",1,201001,1,0,0.4063,0.0936999999999999,0.2125,-0.1125,0.5782,0.3218,1.5,0.142365774893191,2,0.72248179628073,0.857634225106809,75
"147",889556,506506,201001,2,2,1963,46,46,4,2,1040.23059863312,800,800,800,2723.92610070589,2000,4,4,"mbo",0,201001,2,1,0.2188,0.2812,0.1282,-0.0282,0.9719,-0.0719,1.5,0.142365774893191,0,1,0.857634225106809,0
"148",889709,555355,201001,1,1,1965,44,44,5,3,3400,2200,2200,2200,5200,3780,5,5,"hbo",0,201001,2,0,0.4688,0.0311999999999999,0.075,0.025,0.1282,0.7718,1.45,0.856503777849836,0,0.400756256532678,0.143496222150164,400
"149",890298,523782,201001,2,3,1970,39,45,4,2,3700,2400,2400,2400,8200,5100,6,6,"wo",0,201001,2,0,0.3438,0.1562,0.1844,-0.0844,0.025,0.875,1.5,0.273808825510905,0,0.72248179628073,0.726191174489095,9
"150",891094,544448,201001,2,2,1971,38,45,5,3,NA,-13,-13,NA,NA,NA,4,4,"mbo",0,201001,1,1,0.5938,-0.0938,0.1282,-0.0282,0.9719,-0.0719,1.5,0,0,0.411637775270135,1,50
